item_id,condition,eval_prefix,continuation,continuation_sum_logprob,continuation_mean_logprob,model,smoothing_k,continuation_sum_surprisal,continuation_mean_surprisal,unique_id,count,log_count
0,probable,He baked a cake inside,an oven.,-7.678192138671875,-2.5593973795572915,gpt2,,7.678192138671875,2.5593973795572915,0_probable,1937872,14.477101021779998
0,improbable,He baked a cake inside,an airfryer.,-24.097740173339844,-4.016290028889974,gpt2,,24.097740173339844,4.016290028889974,0_improbable,6793,8.823647949191303
0,impossible,He baked a cake inside,a freezer.,-9.375152587890623,-3.1250508626302085,gpt2,,9.375152587890623,3.1250508626302085,0_impossible,897337,13.707186767251574
0,inconceivable,He baked a cake inside,a sigh.,-15.74431610107422,-5.248105367024739,gpt2,,15.74431610107422,5.248105367024739,0_inconceivable,2472962,14.720927180433211
0,inconceivable_syntactic,He baked a cake inside,grasp.,-18.422317504882812,-9.211158752441406,gpt2,,18.422317504882812,9.211158752441406,0_inconceivable_syntactic,22451743,16.92687880833699
1,probable,He boiled water using,a kettle.,-7.262771606445312,-2.420923868815104,gpt2,,7.262771606445312,2.420923868815104,1_probable,629332,13.352414218373161
1,improbable,He boiled water using,a microwave.,-8.268348693847656,-2.756116231282552,gpt2,,8.268348693847656,2.756116231282552,1_improbable,2127397,14.570409724626666
1,impossible,He boiled water using,a refrigerator.,-11.019889831542969,-3.673296610514323,gpt2,,11.019889831542969,3.673296610514323,1_impossible,1299099,14.077181505219846
1,inconceivable,He boiled water using,justice.,-15.215011596679688,-7.607505798339844,gpt2,,15.215011596679688,7.607505798339844,1_inconceivable,58383632,17.882546134541762
1,inconceivable_syntactic,He boiled water using,began.,-19.071922302246097,-9.535961151123049,gpt2,,19.071922302246097,9.535961151123049,1_inconceivable_syntactic,178953819,19.00263833610534
2,probable,He broke a coconut using,a rock.,-9.163055419921877,-3.054351806640625,gpt2,,9.163055419921877,3.054351806640625,2_probable,10955456,16.20934815497426
2,improbable,He broke a coconut using,a table.,-13.586990356445312,-4.5289967854817705,gpt2,,13.586990356445312,4.5289967854817705,2_improbable,19860121,16.804224309211282
2,impossible,He broke a coconut using,a pillow.,-9.689231872558594,-3.2297439575195312,gpt2,,9.689231872558594,3.2297439575195312,2_impossible,1920619,14.468158087878928
2,inconceivable,He broke a coconut using,a texture.,-19.903907775878903,-6.634635925292969,gpt2,,19.903907775878903,6.634635925292969,2_inconceivable,870013,13.676263433047863
2,inconceivable_syntactic,He broke a coconut using,of.,-17.90286636352539,-8.951433181762695,gpt2,,17.90286636352539,8.951433181762695,2_inconceivable_syntactic,38660791450,24.378091782581194
3,probable,He built a house out of,brick.,-8.361465454101562,-4.180732727050781,gpt2,,8.361465454101562,4.180732727050781,3_probable,21994498,16.906302889135553
3,improbable,He built a house out of,grass.,-9.287826538085938,-4.643913269042969,gpt2,,9.287826538085938,4.643913269042969,3_improbable,52553859,17.777349087415008
3,impossible,He built a house out of,gas.,-10.892501831054688,-5.446250915527344,gpt2,,10.892501831054688,5.446250915527344,3_impossible,146001981,18.79913074807371
